feature,importance
debt_to_income,0.936110843650443
credit_score,0.5238021273004407
loan_purpose_debt_consolidation,0.3664530333918732
home_ownership_OWN,0.320096851043243
loan_purpose_education,0.2921646810143529
age,0.25239897750621626
home_ownership_RENT,0.20863554034524923
missed_payments_12m,0.1948158599827297
loan_purpose_personal,0.18170651922365977
existing_loans,0.16931832253839965
employment_years,0.16830804731681545
interest_rate,0.16441131410030319
loan_amount,0.1365131410806791
annual_income,0.10132826991375869
loan_purpose_home_improvement,0.09186890993278791
loan_purpose_business,0.06589716910548737
loan_purpose_medical,0.03181711627257315
loan_term_months,0.026000331569763415
home_ownership_MORTGAGE,0.00988851929712578
